"Category","Brand Name","Brand Slug","Model Name","Model Slug","Variant Storage","Variant RAM","Base Buyout Price (INR)","Popular","Active","Image Link"
"LAPTOP","Acer","acer","Swift 3 Series","swift-3-series","Standard","","9262","NO","YES","https://www.cashall.in/api/v1/catalog/image/swift-3-series"
"LAPTOP","Acer","acer","Swift 3x Series","swift-3x-series","Standard","","21725","NO","YES","https://www.cashall.in/api/v1/catalog/image/swift-3x-series"
"LAPTOP","Acer","acer","Swift 5 Series","swift-5-series","Standard","","19806","NO","YES","https://www.cashall.in/api/v1/catalog/image/swift-5-series"
"LAPTOP","Acer","acer","Swift 7 Series","swift-7-series","Standard","","19109","NO","YES","https://www.cashall.in/api/v1/catalog/image/swift-7-series"
"LAPTOP","Acer","acer","Swift Series","swift-series","Standard","","11756","NO","YES","https://www.cashall.in/api/v1/catalog/image/swift-series"
"LAPTOP","Acer","acer","Swift X Series","swift-x-series","Standard","","18372","NO","YES","https://www.cashall.in/api/v1/catalog/image/swift-x-series"
"LAPTOP","Acer","acer","Switch 5 Series","switch-5-series","Standard","","11736","NO","YES","https://www.cashall.in/api/v1/catalog/image/switch-5-series"
"LAPTOP","Acer","acer","Switch Series","switch-series","Standard","","11181","NO","YES","https://www.cashall.in/api/v1/catalog/image/switch-series"
"LAPTOP","Acer","acer","TravelMate P2 Series","travelmate-p2-series","Standard","","15150","NO","YES","https://www.cashall.in/api/v1/catalog/image/travelmate-p2-series"
"LAPTOP","Acer","acer","TravelMate P4 Series","travelmate-p4-series","Standard","","17170","NO","YES","https://www.cashall.in/api/v1/catalog/image/travelmate-p4-series"
"LAPTOP","Acer","acer","TravelMate P6 Series","travelmate-p6-series","Standard","","19190","NO","YES","https://www.cashall.in/api/v1/catalog/image/travelmate-p6-series"
"LAPTOP","Apple","apple","MacBook Air 2018","macbook-air-2018","Standard","","23260","YES","YES","https://www.cashall.in/api/v1/catalog/image/macbook-air-2018"
"LAPTOP","Apple","apple","MacBook Air 2019","macbook-air-2019","Standard","","27018","YES","YES","https://www.cashall.in/api/v1/catalog/image/macbook-air-2019"
"LAPTOP","Apple","apple","MacBook Air 2020","macbook-air-2020","Standard","","36006","YES","YES","https://www.cashall.in/api/v1/catalog/image/macbook-air-2020"
"LAPTOP","Apple","apple","MacBook Air 2022","macbook-air-2022","Standard","","49005","YES","YES","https://www.cashall.in/api/v1/catalog/image/macbook-air-2022"
"LAPTOP","Apple","apple","MacBook Air 2023","macbook-air-2023","Standard","","54894","YES","YES","https://www.cashall.in/api/v1/catalog/image/macbook-air-2023"
"LAPTOP","Apple","apple","MacBook Air 2024","macbook-air-2024","Standard","","60600","YES","YES","https://www.cashall.in/api/v1/catalog/image/macbook-air-2024"
"LAPTOP","Apple","apple","Macbook Air 2025","macbook-air-2025","Standard","","70700","YES","YES","https://www.cashall.in/api/v1/catalog/image/macbook-air-2025"
"LAPTOP","Apple","apple","Macbook Air 2026","macbook-air-2026","Standard","","70700","YES","YES","https://www.cashall.in/api/v1/catalog/image/macbook-air-2026"
"LAPTOP","Apple","apple","MacBook Air Early 2014","macbook-air-early-2014","Standard","","11514","YES","YES","https://www.cashall.in/api/v1/catalog/image/macbook-air-early-2014"
"LAPTOP","Apple","apple","MacBook Air Early 2015","macbook-air-early-2015","Standard","","14655","YES","YES","https://www.cashall.in/api/v1/catalog/image/macbook-air-early-2015"
"LAPTOP","Apple","apple","MacBook Air Mid 2013","macbook-air-mid-2013","Standard","","11514","YES","YES","https://www.cashall.in/api/v1/catalog/image/macbook-air-mid-2013"
"LAPTOP","Apple","apple","MacBook Air Mid 2017","macbook-air-mid-2017","Standard","","17897","YES","YES","https://www.cashall.in/api/v1/catalog/image/macbook-air-mid-2017"
"LAPTOP","Apple","apple","Macbook Neo Series","macbook-neo-series","Standard","","36360","NO","YES","https://www.cashall.in/api/v1/catalog/image/macbook-neo-series"
"LAPTOP","Apple","apple","MacBook Pro (Late 2016, Touch Bar, Four Thunderbolt 3 Ports)","macbook-pro-late-2016-touch-bar-four-thunderbolt-3-ports","Standard","","28139","NO","YES","https://www.cashall.in/api/v1/catalog/image/macbook-pro-late-2016-touch-bar-four-thunderbolt-3-ports"
"LAPTOP","Apple","apple","MacBook Pro (Late 2016, Two Thunderbolt 3 Ports)","macbook-pro-late-2016-two-thunderbolt-3-ports","Standard","","25573","NO","YES","https://www.cashall.in/api/v1/catalog/image/macbook-pro-late-2016-two-thunderbolt-3-ports"
"LAPTOP","Apple","apple","MacBook Pro (Mid-2017, Touch Bar, Four Thunderbolt 3 Ports)","macbook-pro-mid-2017-touch-bar-four-thunderbolt-3-ports","Standard","","28139","NO","YES","https://www.cashall.in/api/v1/catalog/image/macbook-pro-mid-2017-touch-bar-four-thunderbolt-3-ports"
"LAPTOP","Apple","apple","MacBook Pro (Mid-2017, Two Thunderbolt 3 Ports)","macbook-pro-mid-2017-two-thunderbolt-3-ports","Standard","","26432","NO","YES","https://www.cashall.in/api/v1/catalog/image/macbook-pro-mid-2017-two-thunderbolt-3-ports"
"LAPTOP","Apple","apple","MacBook Pro (Mid-2018, Touch Bar, Four Thunderbolt 3 Ports)","macbook-pro-mid-2018-touch-bar-four-thunderbolt-3-ports","Standard","","33249","NO","YES","https://www.cashall.in/api/v1/catalog/image/macbook-pro-mid-2018-touch-bar-four-thunderbolt-3-ports"
"LAPTOP","Apple","apple","MacBook Pro 2019","macbook-pro-2019","Standard","","36431","NO","YES","https://www.cashall.in/api/v1/catalog/image/macbook-pro-2019"
"LAPTOP","Apple","apple","MacBook Pro 2019 (Touch Bar, Four Thunderbolt 3 ports)","macbook-pro-2019-touch-bar-four-thunderbolt-3-ports","Standard","","35804","NO","YES","https://www.cashall.in/api/v1/catalog/image/macbook-pro-2019-touch-bar-four-thunderbolt-3-ports"
"LAPTOP","Apple","apple","MacBook Pro 2019 (Touch Bar, Two Thunderbolt 3 ports)","macbook-pro-2019-touch-bar-two-thunderbolt-3-ports","Standard","","33643","NO","YES","https://www.cashall.in/api/v1/catalog/image/macbook-pro-2019-touch-bar-two-thunderbolt-3-ports"
"LAPTOP","Apple","apple","MacBook Pro 2019 (Touch Bar)","macbook-pro-2019-touch-bar","Standard","","36522","NO","YES","https://www.cashall.in/api/v1/catalog/image/macbook-pro-2019-touch-bar"
"LAPTOP","Apple","apple","MacBook Pro 2020","macbook-pro-2020","Standard","","42420","NO","YES","https://www.cashall.in/api/v1/catalog/image/macbook-pro-2020"
"LAPTOP","Apple","apple","MacBook Pro 2020 (Touch Bar, Four Thunderbolt 3 ports)","macbook-pro-2020-touch-bar-four-thunderbolt-3-ports","Standard","","44076","NO","YES","https://www.cashall.in/api/v1/catalog/image/macbook-pro-2020-touch-bar-four-thunderbolt-3-ports"
"LAPTOP","Apple","apple","MacBook Pro 2020 (Touch Bar, Two Thunderbolt 3 ports)","macbook-pro-2020-touch-bar-two-thunderbolt-3-ports","Standard","","35804","NO","YES","https://www.cashall.in/api/v1/catalog/image/macbook-pro-2020-touch-bar-two-thunderbolt-3-ports"
"LAPTOP","Apple","apple","MacBook Pro 2021","macbook-pro-2021","Standard","","60600","NO","YES","https://www.cashall.in/api/v1/catalog/image/macbook-pro-2021"
"LAPTOP","Apple","apple","MacBook Pro 2022","macbook-pro-2022","Standard","","62620","NO","YES","https://www.cashall.in/api/v1/catalog/image/macbook-pro-2022"
"LAPTOP","Apple","apple","MacBook Pro 2023","macbook-pro-2023","Standard","","70700","NO","YES","https://www.cashall.in/api/v1/catalog/image/macbook-pro-2023"
"LAPTOP","Apple","apple","MacBook Pro 2024","macbook-pro-2024","Standard","","65650","NO","YES","https://www.cashall.in/api/v1/catalog/image/macbook-pro-2024"
"LAPTOP","Apple","apple","MacBook Pro 2025","macbook-pro-2025","Standard","","95950","NO","YES","https://www.cashall.in/api/v1/catalog/image/macbook-pro-2025"
"LAPTOP","Apple","apple","MacBook Pro Retina Early 2013","macbook-pro-retina-early-2013","Standard","","14069","NO","YES","https://www.cashall.in/api/v1/catalog/image/macbook-pro-retina-early-2013"
"LAPTOP","Apple","apple","MacBook Pro Retina Early 2015","macbook-pro-retina-early-2015","Standard","","15150","YES","YES","https://www.cashall.in/api/v1/catalog/image/macbook-pro-retina-early-2015"
"LAPTOP","Apple","apple","MacBook Pro Retina Late 2013","macbook-pro-retina-late-2013","Standard","","14655","NO","YES","https://www.cashall.in/api/v1/catalog/image/macbook-pro-retina-late-2013"
"LAPTOP","Apple","apple","MacBook Pro Retina Mid 2014","macbook-pro-retina-mid-2014","Standard","","18624","NO","YES","https://www.cashall.in/api/v1/catalog/image/macbook-pro-retina-mid-2014"
"LAPTOP","Apple","apple","MacBook Pro Retina Mid 2015","macbook-pro-retina-mid-2015","Standard","","25139","YES","YES","https://www.cashall.in/api/v1/catalog/image/macbook-pro-retina-mid-2015"
"LAPTOP","Apple","apple","MacBook Retina Early 2015","macbook-retina-early-2015","Standard","","13948","NO","YES","https://www.cashall.in/api/v1/catalog/image/macbook-retina-early-2015"
"LAPTOP","Apple","apple","MacBook Retina Early 2016","macbook-retina-early-2016","Standard","","15695","NO","YES","https://www.cashall.in/api/v1/catalog/image/macbook-retina-early-2016"
"LAPTOP","Apple","apple","MacBook Retina Mid 2017","macbook-retina-mid-2017","Standard","","18604","NO","YES","https://www.cashall.in/api/v1/catalog/image/macbook-retina-mid-2017"
"LAPTOP","Asus","asus","Asus A Series","asus-a-series","Standard","","7848","NO","YES","https://www.cashall.in/api/v1/catalog/image/asus-a-series"
"LAPTOP","Asus","asus","Asus B Series","asus-b-series","Standard","","7626","NO","YES","https://www.cashall.in/api/v1/catalog/image/asus-b-series"
"LAPTOP","Asus","asus","Asus Chromebook Flip Series","asus-chromebook-flip-series","Standard","","17544","NO","YES","https://www.cashall.in/api/v1/catalog/image/asus-chromebook-flip-series"
"LAPTOP","Asus","asus","Asus Chromebook Series","asus-chromebook-series","Standard","","2161","NO","YES","https://www.cashall.in/api/v1/catalog/image/asus-chromebook-series"
"LAPTOP","Asus","asus","Asus E Series","asus-e-series","Standard","","4333","NO","YES","https://www.cashall.in/api/v1/catalog/image/asus-e-series"
"LAPTOP","Asus","asus","Asus F Series","asus-f-series","Standard","","10342","NO","YES","https://www.cashall.in/api/v1/catalog/image/asus-f-series"
"LAPTOP","Asus","asus","Asus FX Series","asus-fx-series","Standard","","5646","NO","YES","https://www.cashall.in/api/v1/catalog/image/asus-fx-series"
"LAPTOP","Asus","asus","Asus FZ Series","asus-fz-series","Standard","","8302","NO","YES","https://www.cashall.in/api/v1/catalog/image/asus-fz-series"
"LAPTOP","Asus","asus","Asus K Series","asus-k-series","Standard","","10241","NO","YES","https://www.cashall.in/api/v1/catalog/image/asus-k-series"
"LAPTOP","Asus","asus","Asus N Series","asus-n-series","Standard","","6272","NO","YES","https://www.cashall.in/api/v1/catalog/image/asus-n-series"
"LAPTOP","Asus","asus","Asus NX Series","asus-nx-series","Standard","","8302","NO","YES","https://www.cashall.in/api/v1/catalog/image/asus-nx-series"
"LAPTOP","Asus","asus","Asus P series","asus-p-series","Standard","","5595","NO","YES","https://www.cashall.in/api/v1/catalog/image/asus-p-series"
"LAPTOP","Asus","asus","Asus Q Series","asus-q-series","Standard","","5595","NO","YES","https://www.cashall.in/api/v1/catalog/image/asus-q-series"
"LAPTOP","Asus","asus","Asus R Series","asus-r-series","Standard","","5595","NO","YES","https://www.cashall.in/api/v1/catalog/image/asus-r-series"
"LAPTOP","Asus","asus","Asus V Series","asus-v-series","Standard","","4333","NO","YES","https://www.cashall.in/api/v1/catalog/image/asus-v-series"
"LAPTOP","Asus","asus","Asus X Series","asus-x-series","Standard","","5747","NO","YES","https://www.cashall.in/api/v1/catalog/image/asus-x-series"
"LAPTOP","Asus","asus","AsusPro B Series","asuspro-b-series","Standard","","13049","NO","YES","https://www.cashall.in/api/v1/catalog/image/asuspro-b-series"
"LAPTOP","Asus","asus","AsusPro P Series","asuspro-p-series","Standard","","13049","NO","YES","https://www.cashall.in/api/v1/catalog/image/asuspro-p-series"
"LAPTOP","Asus","asus","EeeBook Series","eeebook-series","Standard","","3121","NO","YES","https://www.cashall.in/api/v1/catalog/image/eeebook-series"
"LAPTOP","Asus","asus","Gaming Series","gaming-series","Standard","","7908","NO","YES","https://www.cashall.in/api/v1/catalog/image/gaming-series"
"LAPTOP","Asus","asus","Other Asus Series","other-asus-series","Standard","","4333","NO","YES","https://www.cashall.in/api/v1/catalog/image/other-asus-series"
"LAPTOP","Asus","asus","ProArt StudioBook Series","proart-studiobook-series","Standard","","27098","NO","YES","https://www.cashall.in/api/v1/catalog/image/proart-studiobook-series"
"LAPTOP","Asus","asus","ROG Series","rog-series","Standard","","18746","NO","YES","https://www.cashall.in/api/v1/catalog/image/rog-series"
"LAPTOP","Asus","asus","ROG Strix Series","rog-strix-series","Standard","","28684","NO","YES","https://www.cashall.in/api/v1/catalog/image/rog-strix-series"
"LAPTOP","Asus","asus","ROG Zephyrus Series","rog-zephyrus-series","Standard","","33249","NO","YES","https://www.cashall.in/api/v1/catalog/image/rog-zephyrus-series"
"LAPTOP","Asus","asus","TUF Gaming Series","tuf-gaming-series","Standard","","25250","NO","YES","https://www.cashall.in/api/v1/catalog/image/tuf-gaming-series"
"LAPTOP","Asus","asus","VivoBook Flip Series","vivobook-flip-series","Standard","","11029","NO","YES","https://www.cashall.in/api/v1/catalog/image/vivobook-flip-series"
"LAPTOP","Asus","asus","VivoBook Pro Series","vivobook-pro-series","Standard","","9171","NO","YES","https://www.cashall.in/api/v1/catalog/image/vivobook-pro-series"
"LAPTOP","Asus","asus","VivoBook S Series","vivobook-s-series","Standard","","7110","NO","YES","https://www.cashall.in/api/v1/catalog/image/vivobook-s-series"
"LAPTOP","Asus","asus","VivoBook Series","vivobook-series","Standard","","9342","NO","YES","https://www.cashall.in/api/v1/catalog/image/vivobook-series"
"LAPTOP","Asus","asus","ZenBook Flip Series","zenbook-flip-series","Standard","","15958","NO","YES","https://www.cashall.in/api/v1/catalog/image/zenbook-flip-series"
"LAPTOP","Asus","asus","ZenBook Pro Series","zenbook-pro-series","Standard","","26310","NO","YES","https://www.cashall.in/api/v1/catalog/image/zenbook-pro-series"
"LAPTOP","Asus","asus","ZenBook S Series","zenbook-s-series","Standard","","5595","NO","YES","https://www.cashall.in/api/v1/catalog/image/zenbook-s-series"
"LAPTOP","Asus","asus","ZenBook Series","zenbook-series","Standard","","9171","NO","YES","https://www.cashall.in/api/v1/catalog/image/zenbook-series"
"LAPTOP","Asus","asus","ZenBook U Series","zenbook-u-series","Standard","","4333","NO","YES","https://www.cashall.in/api/v1/catalog/image/zenbook-u-series"
"LAPTOP","AVITA","avita","Admiror Series","admiror-series","Standard","","10918","NO","YES","https://www.cashall.in/api/v1/catalog/image/admiror-series"
"LAPTOP","AVITA","avita","Cosmos Series","cosmos-series","Standard","","8474","NO","YES","https://www.cashall.in/api/v1/catalog/image/cosmos-series"
"LAPTOP","AVITA","avita","Essential Series","essential-series","Standard","","3555","NO","YES","https://www.cashall.in/api/v1/catalog/image/essential-series"
"LAPTOP","AVITA","avita","Liber Series","liber-series","Standard","","8211","NO","YES","https://www.cashall.in/api/v1/catalog/image/liber-series"
"LAPTOP","AVITA","avita","Magus Lite","magus-lite","Standard","","1889","NO","YES","https://www.cashall.in/api/v1/catalog/image/magus-lite"
"LAPTOP","AVITA","avita","Pura Series","pura-series","Standard","","7434","NO","YES","https://www.cashall.in/api/v1/catalog/image/pura-series"
"LAPTOP","Dell","dell","Alienware Series","alienware-series","Standard","","17877","NO","YES","https://www.cashall.in/api/v1/catalog/image/alienware-series"
"LAPTOP","Dell","dell","Dell 13 R2 Series","dell-13-r2-series","Standard","","40400","NO","YES","https://www.cashall.in/api/v1/catalog/image/dell-13-r2-series"
"LAPTOP","Dell","dell","Dell 14 Plus 2 in 1 Series","dell-14-plus-2-in-1-series","Standard","","30300","NO","YES","https://www.cashall.in/api/v1/catalog/image/dell-14-plus-2-in-1-series"
"LAPTOP","Dell","dell","Dell 15 R2 Series","dell-15-r2-series","Standard","","30300","NO","YES","https://www.cashall.in/api/v1/catalog/image/dell-15-r2-series"
"LAPTOP","Dell","dell","Dell 15 R4 Series","dell-15-r4-series","Standard","","30300","NO","YES","https://www.cashall.in/api/v1/catalog/image/dell-15-r4-series"
"LAPTOP","Dell","dell","Dell 15 Series","dell-15-series","Standard","","17170","NO","YES","https://www.cashall.in/api/v1/catalog/image/dell-15-series"
"LAPTOP","Dell","dell","Dell 16 Plus Series","dell-16-plus-series","Standard","","40400","NO","YES","https://www.cashall.in/api/v1/catalog/image/dell-16-plus-series"
"LAPTOP","Dell","dell","Dell 17 R2 Series","dell-17-r2-series","Standard","","40400","NO","YES","https://www.cashall.in/api/v1/catalog/image/dell-17-r2-series"
"LAPTOP","Dell","dell","Dell 17 R3 Series","dell-17-r3-series","Standard","","40400","NO","YES","https://www.cashall.in/api/v1/catalog/image/dell-17-r3-series"
"LAPTOP","Dell","dell","Dell 17 R5 Series","dell-17-r5-series","Standard","","40400","NO","YES","https://www.cashall.in/api/v1/catalog/image/dell-17-r5-series"
"LAPTOP","Dell","dell","Dell Alienware 15 Series","dell-alienware-15-series","Standard","","40400","NO","YES","https://www.cashall.in/api/v1/catalog/image/dell-alienware-15-series"
"LAPTOP","Dell","dell","Dell Alienware 16x Aurora Series","dell-alienware-16x-aurora-series","Standard","","40400","NO","YES","https://www.cashall.in/api/v1/catalog/image/dell-alienware-16x-aurora-series"
"LAPTOP","Dell","dell","Dell Area 51m R2 Series","dell-area-51m-r2-series","Standard","","40400","NO","YES","https://www.cashall.in/api/v1/catalog/image/dell-area-51m-r2-series"
"LAPTOP","Dell","dell","Dell Area 51m Series","dell-area-51m-series","Standard","","40400","NO","YES","https://www.cashall.in/api/v1/catalog/image/dell-area-51m-series"
"LAPTOP","Dell","dell","Dell Chromebook Series","dell-chromebook-series","Standard","","3101","NO","YES","https://www.cashall.in/api/v1/catalog/image/dell-chromebook-series"
"LAPTOP","Dell","dell","Dell G15 5520 Series","dell-g15-5520-series","Standard","","40400","NO","YES","https://www.cashall.in/api/v1/catalog/image/dell-g15-5520-series"
"LAPTOP","Dell","dell","Dell G5 Series","dell-g5-series","Standard","","25250","NO","YES","https://www.cashall.in/api/v1/catalog/image/dell-g5-series"
"LAPTOP","Dell","dell","Dell G7 Series","dell-g7-series","Standard","","50500","NO","YES","https://www.cashall.in/api/v1/catalog/image/dell-g7-series"
"LAPTOP","Dell","dell","Dell Gaming G15 5000 Series","dell-gaming-g15-5000-series","Standard","","40400","NO","YES","https://www.cashall.in/api/v1/catalog/image/dell-gaming-g15-5000-series"
"LAPTOP","Dell","dell","Dell Inspiro 5440 Series","dell-inspiro-5440-series","Standard","","40400","NO","YES","https://www.cashall.in/api/v1/catalog/image/dell-inspiro-5440-series"
"LAPTOP","Dell","dell","Dell Inspiron 13 7000 Series","dell-inspiron-13-7000-series","Standard","","30300","NO","YES","https://www.cashall.in/api/v1/catalog/image/dell-inspiron-13-7000-series"
"LAPTOP","Dell","dell","Dell Inspiron 14 5440 Series","dell-inspiron-14-5440-series","Standard","","30300","NO","YES","https://www.cashall.in/api/v1/catalog/image/dell-inspiron-14-5440-series"
"LAPTOP","Dell","dell","Dell Inspiron 14 7000 Series","dell-inspiron-14-7000-series","Standard","","29290","NO","YES","https://www.cashall.in/api/v1/catalog/image/dell-inspiron-14-7000-series"
"LAPTOP","Dell","dell","Dell Inspiron 14 Plus Series","dell-inspiron-14-plus-series","Standard","","25250","NO","YES","https://www.cashall.in/api/v1/catalog/image/dell-inspiron-14-plus-series"
"LAPTOP","Dell","dell","Dell Inspiron 15 7000 Series","dell-inspiron-15-7000-series","Standard","","30300","NO","YES","https://www.cashall.in/api/v1/catalog/image/dell-inspiron-15-7000-series"
"LAPTOP","Dell","dell","Dell Inspiron 15 7500 Series","dell-inspiron-15-7500-series","Standard","","30300","NO","YES","https://www.cashall.in/api/v1/catalog/image/dell-inspiron-15-7500-series"
"LAPTOP","Dell","dell","Dell Inspiron 16 Plus Series","dell-inspiron-16-plus-series","Standard","","25250","NO","YES","https://www.cashall.in/api/v1/catalog/image/dell-inspiron-16-plus-series"
"LAPTOP","Dell","dell","Dell Inspiron 17 7000 Series","dell-inspiron-17-7000-series","Standard","","30300","NO","YES","https://www.cashall.in/api/v1/catalog/image/dell-inspiron-17-7000-series"
"LAPTOP","Dell","dell","Dell Inspiron 3500 Series","dell-inspiron-3500-series","Standard","","25250","NO","YES","https://www.cashall.in/api/v1/catalog/image/dell-inspiron-3500-series"
"LAPTOP","Dell","dell","Dell Inspiron 7500 Series","dell-inspiron-7500-series","Standard","","20200","NO","YES","https://www.cashall.in/api/v1/catalog/image/dell-inspiron-7500-series"
"LAPTOP","Dell","dell","Dell Latitude 15 2026 Series","dell-latitude-15-2026-series","Standard","","40400","NO","YES","https://www.cashall.in/api/v1/catalog/image/dell-latitude-15-2026-series"
"LAPTOP","Dell","dell","Dell Latitude 5300 series","dell-latitude-5300-series","Standard","","20200","NO","YES","https://www.cashall.in/api/v1/catalog/image/dell-latitude-5300-series"
"LAPTOP","Dell","dell","Dell Latitude 5400 series","dell-latitude-5400-series","Standard","","20200","NO","YES","https://www.cashall.in/api/v1/catalog/image/dell-latitude-5400-series"
"LAPTOP","Dell","dell","Dell Latitude 5500 series","dell-latitude-5500-series","Standard","","20200","NO","YES","https://www.cashall.in/api/v1/catalog/image/dell-latitude-5500-series"
"LAPTOP","Dell","dell","Dell Latitude 7200 series","dell-latitude-7200-series","Standard","","30300","NO","YES","https://www.cashall.in/api/v1/catalog/image/dell-latitude-7200-series"
"LAPTOP","Dell","dell","Dell Latitude 7300 series","dell-latitude-7300-series","Standard","","20200","NO","YES","https://www.cashall.in/api/v1/catalog/image/dell-latitude-7300-series"
"LAPTOP","Dell","dell","Dell Latitude 7400 series","dell-latitude-7400-series","Standard","","25250","NO","YES","https://www.cashall.in/api/v1/catalog/image/dell-latitude-7400-series"
"LAPTOP","Dell","dell","Dell Latitude 7500 Series","dell-latitude-7500-series","Standard","","25250","NO","YES","https://www.cashall.in/api/v1/catalog/image/dell-latitude-7500-series"
"LAPTOP","Dell","dell","Dell Latitude 9300 Series","dell-latitude-9300-series","Standard","","30300","NO","YES","https://www.cashall.in/api/v1/catalog/image/dell-latitude-9300-series"
"LAPTOP","Dell","dell","Dell Latitude 9400 Series","dell-latitude-9400-series","Standard","","50500","NO","YES","https://www.cashall.in/api/v1/catalog/image/dell-latitude-9400-series"
